#separator:tab
#html:true
#notetype:Mandarin Vocabulary
#deck:Mandarin::Vocabulary
#columns:Hanzi	Pinyin	English	ExampleHanzi	ExamplePinyin	ExampleEnglish	Notes
猫	māo	cat	我有一只猫。	Wǒ yǒu yì zhī māo.	I have a cat.	Measure word: 只 (zhī) for most animals.
工作	gōngzuò	work / job; to work	我喜欢我的工作。我在公司工作。	Wǒ xǐhuan wǒ de gōngzuò. I work at the company.	I like my job.	Both noun and verb. As a verb, follows the location adverb.
教室	jiàoshì	classroom	老师在教室里。	Lǎoshī zài jiàoshì lǐ.	The teacher is in the classroom.	
什么	shénme	what	这是什么？	Zhè shì shénme?	What is this?	Typically followed by a noun: 什么书 (what book), 什么时候 (when). Contrast with 怎么 (zěnme, "how"), which is followed by a verb.
名字	míngzi	name	我的名字叫安娜。	Wǒ de míngzi jiào Ānnà.	My name is Anna.	字 is neutral tone here.
的	de	(possessive / modifier particle)	这是我的书。	Zhè shì wǒ de shū.	This is my book.	Most common Chinese particle; always neutral tone. Often OMITTED with close relationships and personal institutions: 我妈妈 (not 我的妈妈), 我朋友, 我家, 我们学校, 我们公司.
我的	wǒde	my / mine	这本书是我的。	Zhè běn shū shì wǒde.	This book is mine.	Can also stand alone meaning "mine".
你的	nǐde	your / yours	你的名字很好听。	Nǐde míngzi hěn hǎotīng.	Your name sounds nice.	
是	shì	to be / yes	我是学生。	Wǒ shì xuésheng.	I am a student.	Used to link nouns; not used before adjectives.
不是	búshì	no / is not	他不是老师。	Tā búshì lǎoshī.	He is not a teacher.	Tone sandhi: bù → bú before 是 (4th tone).
老师	lǎoshī	teacher	王老师很好。	Wáng lǎoshī hěn hǎo.	Teacher Wang is very nice.	Used after a surname as a respectful title.
学生	xuésheng	student	我是大学生。	Wǒ shì dàxuéshēng.	I am a university student.	生 is neutral tone here.
吗	ma	(yes/no question particle)	你好吗？	Nǐ hǎo ma?	How are you?	Placed at the end to turn a statement into a yes/no question.
人	rén	person / people	那个人是谁？	Nàge rén shì shéi?	Who is that person?	Also used as a nationality suffix (see below).
中国	Zhōngguó	China	我想去中国旅游。	Wǒ xiǎng qù Zhōngguó lǛyóu.	I want to travel to China.	
美国	Měiguó	USA	他来自美国。	Tā láizì Měiguó.	He comes from the USA.	
墨西哥	Mòxīgē	Mexico	墨西哥菜很好吃。	Mòxīgē cài hěn hǎochī.	Mexican food is delicious.	
中国人	Zhōngguórén	Chinese (person)	我是中国人。	Wǒ shì Zhōngguórén.	I am Chinese.	Pattern: country + 人 = nationality.
美国人	Měiguórén	American (person)	她是美国人。	Tā shì Měiguórén.	She is American.	
墨西哥人	Mòxīgērén	Mexican (person)	我朋友是墨西哥人。	Wǒ péngyou shì Mòxīgērén.	My friend is Mexican.	
这	zhè	this	这是我的书。	Zhè shì wǒ de shū.	This is my book.	Often pronounced zhèi in colloquial speech, especially before a measure word.
对	duì	right / correct	你说得对。	Nǐ shuō de duì.	You're right (in what you said).	Also means "to / toward" and "pair".
不对	bú duì	wrong / incorrect	这个答案不对。	Zhège dá'àn bú duì.	This answer is wrong.	Tone sandhi: bù → bú before 对 (4th tone).
例子	lìzi	example	请给我一个例子。	Qǐng gěi wǒ yí ge lìzi.	Please give me an example.	
日本	Rìběn	Japan	我下个月去日本。	Wǒ xià ge yuè qù Rìběn.	I'm going to Japan next month.	
哪	nǎ	which / where	你是哪国人？	Nǐ shì nǎ guó rén?	Where are you from? (lit. which country's person)	Often pronounced něi colloquially before a measure word.
谁	shéi	who / whom	他是谁？	Tā shì shéi?	Who is he?	Also pronounced shuí, especially in formal/literary speech.
同学	tóngxué	classmate	他是我的同学。	Tā shì wǒ de tóngxué.	He is my classmate.	Also used by teachers to address students.
汉语	Hànyǔ	Chinese (language)	我学汉语两年了。	Wǒ xué Hànyǔ liǎng nián le.	I've studied Chinese for two years.	Literally "Han language" — emphasizes the spoken language of the Han people. Common in language-learning contexts (e.g., HSK = 汉语水平考试).
中文	Zhōngwén	Chinese (language)	你会说中文吗？	Nǐ huì shuō Zhōngwén ma?	Can you speak Chinese?	Literally "Middle script" — broader, covers spoken and written Chinese. More common in everyday speech and overseas; 汉语 is more academic/standard.
书	shū	book	这本书很有意思。	Zhè běn shū hěn yǒu yìsi.	This book is very interesting.	Measure word: 本 (běn).
英语	Yīngyǔ	English (language)	她的英语很好。	Tā de Yīngyǔ hěn hǎo.	Her English is very good.	Literally "English language". Parallels 汉语: more academic/standard, often used in school contexts.
英文	Yīngwén	English (language)	这本书是英文的。	Zhè běn shū shì Yīngwén de.	This book is in English.	Literally "English script". Parallels 中文: covers both spoken and written, common in everyday speech, especially when referring to written material.
法语	Fǎyǔ	French (language)	我想学法语。	Wǒ xiǎng xué Fǎyǔ.	I want to learn French.	Literally "French language". Like 汉语/英语, slightly more formal/academic.
法文	Fǎwén	French (language)	我看了一本法文小说。	Wǒ kàn le yì běn Fǎwén xiǎoshuō.	I read a French novel.	Literally "French script". Like 中文/英文, often used for written French; interchangeable with 法语 in many contexts.
教材	jiàocái	textbook / teaching materials	这本教材很实用。	Zhè běn jiàocái hěn shíyòng.	This textbook is very practical.	教 (teach) + 材 (material). 课本 (kèběn) is more specific to school textbooks.
英国	Yīngguó	England / UK	他来自英国。	Tā láizì Yīngguó.	He comes from the UK.	
法国	Fǎguó	France	我下个月去法国。	Wǒ xià ge yuè qù Fǎguó.	I'm going to France next month.	
歌	gē	song	这首歌很好听。	Zhè shǒu gē hěn hǎotīng.	This song sounds great.	Measure word: 首 (shǒu). 唱歌 (chàng gē) = "to sing".
文化	wénhuà	culture	中国文化很丰富。	Zhōngguó wénhuà hěn fēngfù.	Chinese culture is very rich.	
狗	gǒu	dog	我家有两只狗。	Wǒ jiā yǒu liǎng zhī gǒu.	My family has two dogs.	Measure word: 只 (zhī).
呢	ne	what about ...? / where is ...? (question particle)	我很好，你呢？	Wǒ hěn hǎo, nǐ ne?	I'm fine, and you?	Placed after a noun/pronoun to bounce a question back. After a bare noun it can also mean "where is X?" (我的手机呢？= where's my phone?). Always neutral tone.
在哪	zài nǎ	where (is it)?	你在哪？	Nǐ zài nǎ?	Where are you?	Short for 在哪里 / 在哪儿. 在 (at) + 哪 (which/where).
去哪	qù nǎ	(to) go where?	你去哪？	Nǐ qù nǎ?	Where are you going?	Short for 去哪里 / 去哪儿. 去 (go) + 哪 (which/where).
家	jiā	home / family	我在家。	Wǒ zài jiā.	I'm at home.	Also a measure word for businesses: 一家公司 (one company).
公司	gōngsī	company	他在一家大公司工作。	Tā zài yì jiā dà gōngsī gōngzuò.	He works at a big company.	Measure word: 家 (jiā).
去	qù	to go	我去学校。	Wǒ qù xuéxiào.	I'm going to school.	Indicates motion away from the speaker; opposite of 来 (lái).
个	gè	(generic measure word)	我有一个朋友。	Wǒ yǒu yí ge péngyou.	I have a friend.	The default measure word — used when you're unsure which fits. Dictionary tone is gè, but in speech almost always unstressed (neutral): yí ge, zhège, nàge.
只	zhī	(measure word for small animals)	我有两只猫。	Wǒ yǒu liǎng zhī māo.	I have two cats.	Used for most animals (cats, dogs, birds), and for one of a pair (e.g., one shoe, one hand).
本	běn	(measure word for books)	我买了三本书。	Wǒ mǎi le sān běn shū.	I bought three books.	Used for bound items: books, notebooks, magazines.
那	nà	that	那是什么？	Nà shì shénme?	What is that?	Pair with 这 (this). Often pronounced nèi colloquially before a measure word.
这个	zhège	this (one)	这个很好。	Zhège hěn hǎo.	This one is good.	这 + 个. Pattern: 这/那/哪 + measure word + (noun) to point at things.
那个	nàge	that (one)	那个是我的。	Nàge shì wǒ de.	That one is mine.	那 + 个. Also a colloquial filler word ("um..."), pronounced nèige.
哪个	nǎge	which (one)	你要哪个？	Nǐ yào nǎge?	Which one do you want?	哪 + 个. The general "which one?" — works when you don't know the right measure word.
哪只	nǎ zhī	which (animal)	哪只狗是你的？	Nǎ zhī gǒu shì nǐ de?	Which dog is yours?	哪 + 只. Use when asking about animals (or one of a pair).
哪本	nǎ běn	which (book)	你在看哪本书？	Nǐ zài kàn nǎ běn shū?	Which book are you reading?	哪 + 本. Use when asking about books or other bound items.
很	hěn	very	她很漂亮。	Tā hěn piàoliang.	She is very pretty.	Often required (not really meaning "very") to link a subject to an adjective: 我很好 = "I'm good".
图书馆	túshūguǎn	library	我常常去图书馆学习。	Wǒ chángcháng qù túshūguǎn xuéxí.	I often go to the library to study.	
看	kàn	to look at / to read / to watch	我喜欢看书。	Wǒ xǐhuan kàn shū.	I like to read books.	Versatile eyes-on verb: read (silent), watch, look at, visit, see (a doctor). Compare 读 (dú, read aloud / study) and the result complement 看见 (kànjiàn, "to see" — perceived).
照片	zhàopiàn	photo / photograph	这张照片很漂亮。	Zhè zhāng zhàopiàn hěn piàoliang.	This photo is beautiful.	Measure word: 张 (zhāng). 拍照片 = "to take a photo".
出差	chūchāi	to go on a business trip	他下周去北京出差。	Tā xià zhōu qù Běijīng chūchāi.	He's going to Beijing on a business trip next week.	Verb-object compound — can be split: 出一次差.
长城	Chángchéng	the Great Wall	长城非常有名。	Chángchéng fēicháng yǒumíng.	The Great Wall is very famous.	Full name: 万里长城 (Wànlǐ Chángchéng).
星期	xīngqī	week; day of the week	今天是五月十号，星期三。	Jīntiān shì wǔ yuè shí hào, xīngqī sān.	Today is May 10, Wednesday.	星期 + number = day of the week (星期一 = Monday … 星期六 = Saturday; Sunday is 星期日/星期天). In a full date, day-of-week comes AFTER the date. Synonym: 周 (zhōu).
星期日	xīngqīrì	Sunday	星期日我们去公园。	Xīngqīrì wǒmen qù gōngyuán.	On Sunday we're going to the park.	Slightly more formal/written. 日 means "sun/day".
星期天	xīngqītiān	Sunday	星期天你做什么？	Xīngqītiān nǐ zuò shénme?	What are you doing on Sunday?	More colloquial than 星期日; same meaning. 天 means "day".
百分之	bǎi fēn zhī	percent	百分之八十的学生通过了考试。	Bǎi fēn zhī bāshí de xuésheng tōngguò le kǎoshì.	80% of the students passed the exam.	Pattern: 百分之 + number (the number goes AFTER, unlike English). Literally "of one hundred parts".
一定	yídìng	definitely / certainly / must	我一定会来。	Wǒ yídìng huì lái.	I will definitely come.	Tone sandhi: 一 (yī) → yí before 4th-tone 定. Often pairs with 会 (huì) for "will definitely".
张	zhāng	(measure word for flat objects)	我有两张照片。	Wǒ yǒu liǎng zhāng zhàopiàn.	I have two photos.	Used for flat things: photos, paper, tickets, tables, beds.
条	tiáo	(measure word for long, thin things)	我买了一条裤子。	Wǒ mǎi le yì tiáo kùzi.	I bought a pair of pants.	Used for long/thin items: pants, fish, roads, rivers, dogs (sometimes), news items.
种	zhǒng	(measure word for kinds / types)	这种茶很好喝。	Zhè zhǒng chá hěn hǎohē.	This kind of tea is delicious.	Means "kind/type/sort". Pattern: 这/那/哪 + 种 + noun.
块	kuài	(measure word for money / pieces / chunks; colloquial for yuan)	这块蛋糕很好吃。	Zhè kuài dàngāo hěn hǎochī.	This piece of cake is delicious.	Used for chunks (cake, soap, stone). Also the colloquial measure word for money (¥): 五块钱 = 5 yuan. Formal equivalent for money: 元 (yuán).
一	yī / yāo	one	我有一个哥哥。	Wǒ yǒu yí ge gēge.	I have an older brother.	Tone sandhi: yī → yí before a 4th-tone syllable (yí ge, yí kuài); yī → yì before 1st/2nd/3rd-tone syllables (yì zhī, yì běn, yì zhāng). Stays yī when counting or at the end. Also read as yāo in phone numbers, room numbers, and other digit-by-digit contexts to avoid confusion with 七 (qī).
二	èr	two	我有二十块钱。	Wǒ yǒu èrshí kuài qián.	I have 20 yuan.	Used for counting and in compound numbers (二十 = 20). Before a measure word, use 两 (liǎng) instead: 两个人.
两	liǎng	two (of something)	我有两只猫。	Wǒ yǒu liǎng zhī māo.	I have two cats.	Used before a measure word instead of 二.
三	sān	three	三个朋友	sān ge péngyou	three friends	
四	sì	four	四本书	sì běn shū	four books	Considered unlucky in Chinese culture because 四 (sì) sounds like 死 (sǐ, "death").
五	wǔ	five	五张照片	wǔ zhāng zhàopiàn	five photos	
六	liù	six	六个学生	liù ge xuésheng	six students	Considered lucky; sounds like 流 (liú, "flow"), associated with smoothness.
七	qī	seven	七天	qī tiān	seven days	
八	bā	eight	八点	bā diǎn	eight o'clock	Considered the luckiest number; sounds like 发 (fā, "prosper") in some dialects.
九	jiǔ	nine	九月	jiǔ yuè	September (lit. "ninth month")	Sounds like 久 (jiǔ, "long-lasting"); associated with longevity.
十	shí	ten	十个人	shí ge rén	ten people	Compound numbers: 十一 (11), 十二 (12)... 二十 (20), 三十 (30).
零	líng	zero	电话号码：一三零……	Diànhuà hàomǎ: yāo sān líng……	Phone number: 1-3-0...	Used in compound numbers with internal zeros: 一百零五 (105). Note: in phone numbers/addresses, 一 is often read as yāo to avoid confusion with 七.
百	bǎi	hundred	这本书有一百页。	Zhè běn shū yǒu yìbǎi yè.	This book has 100 pages.	Always used with a number: 一百 (100), 两百 (200). For numbers like 105, use 零: 一百零五.
一百	yìbǎi	one hundred	一百块钱	yìbǎi kuài qián	100 yuan	Tone sandhi: yī → yì before 3rd-tone bǎi.
最好的	zuìhǎo de	best	她是我最好的朋友。	Tā shì wǒ zuìhǎo de péngyou.	She is my best friend.	Pattern: 最 + adjective + 的 + noun.
有	yǒu	to have / there is	我有两个姐姐。	Wǒ yǒu liǎng ge jiějie.	I have two older sisters.	Also means "there is/are": 这里有一家公司 (There is a company here). Negated with 没 (méi), never with 不.
没有	méi yǒu	don't have / there isn't	我没有兄弟。	Wǒ méi yǒu xiōngdì.	I don't have any brothers.	没 + 有. 有 is always negated with 没, never with 不. Colloquially shortened to 没 (méi).
家人	jiārén	family member(s)	我的家人都很好。	Wǒ de jiārén dōu hěn hǎo.	My family members are all well.	家 (home/family) + 人 (person). Refers to one's family collectively or individual family members.
口	kǒu	mouth; (measure word for family members)	我家有五口人。	Wǒ jiā yǒu wǔ kǒu rén.	My family has five people.	Primary meaning: "mouth" (张口 = open one's mouth). As a measure word, used specifically when counting family members: number + 口 + 人.
没	méi	not / didn't (negative particle)	我昨天没去学校。	Wǒ zuótiān méi qù xuéxiào.	I didn't go to school yesterday.	Used to negate 有 (没有) and to negate past/completed actions (没去 = "didn't go"). Use 没 for past actions and 有; use 不 for present/future, habitual actions, willingness, and adjectives.
看见	kànjiàn	to see / to catch sight of	我看见他了。	Wǒ kànjiàn tā le.	I saw him.	看 (look) + 见 (perceive). 看 = "to look/watch" (the action of looking); 看见 = "to see" (result — you actually perceived it). 见 is a result complement.
女儿	nǚ'ér	daughter	她有一个女儿。	Tā yǒu yí ge nǚ'ér.	She has a daughter.	Son = 儿子 (érzi).
几	jǐ	how many (small number); what (in date/time questions)	你有几个孩子？	Nǐ yǒu jǐ ge háizi?	How many children do you have?	Used when expecting a small number (usually under 10). For larger numbers, use 多少 (duōshao). For dates and times, 几 takes the position of the number being asked: 几号, 几点, 几岁.
岁	suì	years old / years of age	我二十岁。	Wǒ èrshí suì.	I am twenty years old.	No verb needed: 我二十岁 (not *我是二十岁). Acts as a measure word for age.
多	duō	many / much / more; how (to what degree)	你多大？	Nǐ duō dà?	How old are you?	Opposite: 少 (shǎo, few/less). As an adverb before adjectives in questions, asks "how much/big/old": 多大 (how old/big), 多长 (how long), 多远 (how far).
大	dà	big; (of age) old	你女儿多大了？	Nǐ nǚ'ér duō dà le?	How old is your daughter?	For age, 大 means "old/grown": 多大 = "how old". Opposite: 小 (xiǎo, small/young).
了	le	(particle indicating change of state)	他是大学生了。	Tā shì dàxuéshēng le.	He's a university student now.	At end of sentence: signals a new situation or change ("now", "already"). After a verb: marks completed action (我吃了 = "I ate"). Two distinct uses — both very common.
去年	qùnián	last year	去年我去了中国。	Qùnián wǒ qù le Zhōngguó.	Last year I went to China.	
今年	jīnnián	this year	今年我很忙。	Jīnnián wǒ hěn máng.	I'm very busy this year.	
明年	míngnián	next year	明年我想去日本。	Míngnián wǒ xiǎng qù Rìběn.	Next year I want to go to Japan.	
小学	xiǎoxué	elementary school / primary school	我女儿上小学了。	Wǒ nǚ'ér shàng xiǎoxué le.	My daughter is in elementary school now.	In China, typically ages 6–12.
中学	zhōngxué	middle school / secondary school	他是中学生。	Tā shì zhōngxuéshēng.	He is a middle school student.	Covers both 初中 (chūzhōng, junior high) and 高中 (gāozhōng, senior high).
大学	dàxué	university / college	我在大学学中文。	Wǒ zài dàxué xué Zhōngwén.	I study Chinese at university.	大学生 (dàxuéshēng) = "university student".
多大了	duō dà le	how old (is someone)?	你爸爸多大了？	Nǐ bàba duō dà le?	How old is your dad?	Used for ages roughly above 10. For children ~10 and under, use 几岁了 instead. More casual/general-purpose age question.
几岁了	jǐ suì le	how old (is someone)?	你女儿几岁了？	Nǐ nǚ'ér jǐ suì le?	How old is your daughter?	Used for children roughly 10 and under, since 几 expects a small number (under 10). For older people, use 多大了.
有问题吗	yǒu wèntí ma	any questions? / is there a problem?	同学们，有问题吗？	Tóngxuémen, yǒu wèntí ma?	Students, any questions?	
吃	chī	to eat	我喜欢吃中国菜。	Wǒ xǐhuan chī Zhōngguó cài.	I like to eat Chinese food.	吃饭 (chī fàn) = "to eat a meal".
喝	hē	to drink	你想喝什么？	Nǐ xiǎng hē shénme?	What do you want to drink?	
会	huì	can / to know how to; will; to meet; meeting	我会说中文。	Wǒ huì shuō Zhōngwén.	I can speak Chinese.	Multiple uses: (1) auxiliary — learned ability/skill (我会说中文 = I can speak Chinese); compare 能 (néng, physical/situational ability) and 可以 (kěyǐ, permission). (2) future marker — 我会来 (I will come). (3) verb "to meet/get together" — 会朋友 (meet a friend); seen in 幸会 (xìnghuì, nice to meet you) and 再会 (zàihuì, see you again). (4) noun "meeting/gathering" — 开会 (kāihuì, hold/be in a meeting), 会议 (huìyì, meeting/conference). Different reading: 会 (kuài) only in 会计 (kuàijì, accounting).
说	shuō	to speak / to say	他说得很快。	Tā shuō de hěn kuài.	He speaks very fast.	说话 (shuō huà) = "to speak/talk" generally. 说 + language = speak that language: 说中文.
现在	xiànzài	now / at present	现在几点？	Xiànzài jǐ diǎn?	What time is it now?	Time adverb — placed at the start of the sentence or before the verb.
饿	è	hungry	我很饿。	Wǒ hěn è.	I'm very hungry.	An adjective, so usually paired with 很.
少	shǎo	few / little / less	这里人很少。	Zhèlǐ rén hěn shǎo.	There are few people here.	Opposite: 多 (duō, many/more).
小	xiǎo	small; young	这个房间很小。	Zhège fángjiān hěn xiǎo.	This room is very small.	Opposite: 大 (dà, big).
办公室	bàngōngshì	office	老师在办公室。	Lǎoshī zài bàngōngshì.	The teacher is in the office.	
哪儿	nǎr	where	你去哪儿？	Nǐ qù nǎr?	Where are you going?	Equivalent to 哪里 (nǎlǐ). 哪儿 is more common in northern China (especially Beijing); 哪里 more common in the south and Taiwan.
饭馆儿	fànguǎnr	restaurant	我们去饭馆儿吃饭吧。	Wǒmen qù fànguǎnr chīfàn ba.	Let's go eat at a restaurant.	The 儿化 (érhuà) suffix is characteristic of Beijing speech; without it: 饭馆. Typically a smaller, casual eatery.
饭店	fàndiàn	restaurant; hotel	这家饭店的菜很好吃。	Zhè jiā fàndiàn de cài hěn hǎochī.	The food at this restaurant is delicious.	Often a larger/fancier restaurant than 饭馆儿; in mainland China also commonly means "hotel".
方案	fāng'àn	plan / scheme / proposal	我们需要一个新的工作方案。	Wǒmen xūyào yí ge xīn de gōngzuò fāng'àn.	We need a new work plan.	The apostrophe in pinyin separates the syllables so it's not read as fān-gàn.
西安	Xī'ān	Xi'an (city)	西安有兵马俑。	Xī'ān yǒu Bīngmǎyǒng.	Xi'an has the Terracotta Army.	Capital of Shaanxi (陕西) province. The apostrophe in pinyin separates xī and ān to avoid reading as xiān.
儿子	érzi	son	他们有一个儿子。	Tāmen yǒu yí ge érzi.	They have a son.	Daughter: 女儿 (nǚ'ér).
北京	Běijīng	Beijing	北京是中国的首都。	Běijīng shì Zhōngguó de shǒudū.	Beijing is the capital of China.	Literally "northern capital", contrast with 南京 ("southern capital").
菜	cài	dish / cuisine; vegetable	这个菜很好吃。	Zhège cài hěn hǎochī.	This dish is delicious.	Three related meanings: (1) a prepared dish, (2) a cuisine (中国菜 = Chinese cuisine), (3) vegetables (买菜 = buy groceries/veggies).
写	xiě	to write	我在写汉字。	Wǒ zài xiě Hànzì.	I'm writing Chinese characters.	
做	zuò	to do / to make	我在做饭。	Wǒ zài zuò fàn.	I'm cooking.	General "do/make" verb (like Spanish hacer): 做饭 (cook), 做作业 (do homework).
开	kāi	to open; to drive; to turn on	请开门。	Qǐng kāi mén.	Please open the door.	Many meanings: 开门 (open door), 开车 (drive), 开灯 (turn on light), 开会 (hold a meeting). Opposite of 关 (guān, close).
车	chē	car / vehicle	这辆车很贵。	Zhè liàng chē hěn guì.	This car is expensive.	Measure word: 辆 (liàng).
开车	kāichē	to drive (a car)	我每天开车去公司。	Wǒ měitiān kāichē qù gōngsī.	I drive to the office every day.	开 (drive/operate) + 车 (vehicle). Verb-object compound — can be split: 开了一天车 (drove for a day).
游泳	yóuyǒng	to swim; swimming	我喜欢游泳。	Wǒ xǐhuan yóuyǒng.	I like to swim.	Verb-object compound — can be split: 游了一会儿泳 (swam for a while).
西班牙	Xībānyá	Spain	我下个月去西班牙。	Wǒ xià ge yuè qù Xībānyá.	I'm going to Spain next month.	+ 人 = Spanish person (西班牙人).
西班牙语	Xībānyáyǔ	Spanish (language)	她会说西班牙语。	Tā huì shuō Xībānyáyǔ.	She can speak Spanish.	Often shortened to 西语 (Xīyǔ).
母亲	mǔqīn	mother	我母亲是医生。	Wǒ mǔqīn shì yīshēng.	My mother is a doctor.	Formal/written form of 妈妈 (māma).
父亲	fùqīn	father	我父亲六十岁了。	Wǒ fùqīn liùshí suì le.	My father is sixty.	Formal/written form of 爸爸 (bàba).
意大利	Yìdàlì	Italy	意大利在欧洲。	Yìdàlì zài Ōuzhōu.	Italy is in Europe.	+ 人 = Italian (意大利人), + 语 = Italian language.
意大利菜	Yìdàlì cài	Italian cuisine / Italian food	我喜欢吃意大利菜。	Wǒ xǐhuan chī Yìdàlì cài.	I like to eat Italian food.	Pattern: country + 菜 = its cuisine (中国菜, 法国菜, 墨西哥菜).
做饭	zuòfàn	to cook (a meal)	妈妈在做饭。	Māma zài zuò fàn.	Mom is cooking.	Emphasis on the meal as a whole. Near-synonym 做菜 (zuò cài) focuses on the dishes themselves.
做菜	zuò cài	to cook (dishes) / to prepare food	他很会做菜。	Tā hěn huì zuò cài.	He's a great cook.	Near-synonym of 做饭, but emphasizes the dishes themselves. Often used for cooking skill: 会做菜 = "knows how to cook".
好吃	hǎochī	delicious / tasty	这个菜真好吃！	Zhège cài zhēn hǎochī!	This dish is really delicious!	好 (good) + 吃 (eat) = "good to eat". For drinks, use 好喝 (hǎohē); for things you watch/look at, 好看 (hǎokàn); for activities, 好玩 (hǎowán).
好看	hǎokàn	good-looking / pretty / nice to watch	她今天很好看。	Tā jīntiān hěn hǎokàn.	She looks very pretty today.	好 (good) + 看 (look) = "good to look at". More casual and natural in everyday speech than 漂亮 (piàoliang). Also used for things worth watching: 这部电影很好看 (this movie is great).
好玩	hǎowán	fun / interesting / amusing	这个游戏很好玩。	Zhège yóuxì hěn hǎowán.	This game is really fun.	Often pronounced hǎowánr with erhua in northern speech.
